cve_id,cve_description,cwe_id,cwe_description
CVE-2005-1645,database file under web root.,CWE-219,Storage of File with Sensitive Data Under Web Root
CVE-2004-1513,Spoofed entries in web server log file via carriage returns,CWE-93,Improper Neutralization of CRLF Sequences ('CRLF Injection')
CVE-2000-0342,E-mail client allows bypass of warning for dangerous attachments via a Windows .LNK file that refers to the attachment.,CWE-356,Product UI does not Warn User of Unsafe Actions
CVE-2003-1016,"MIE. MFV too? bypass AV/security with fields that should not be quoted, duplicate quotes, missing leading/trailing quotes.",CWE-149,Improper Neutralization of Quoting Syntax
CVE-2002-0971,Bypass GUI and access restricted dialog box.,CWE-422,Unprotected Windows Messaging Channel ('Shatter')
CVE-2009-1532,"malformed inputs cause accesses of uninitialized or previously-deleted objects, leading to memory corruption",CWE-787,Out-of-bounds Write
CVE-2000-0517,Product does not warn user about a certificate if it has already been accepted for a different site. Possibly resultant.,CWE-356,Product UI does not Warn User of Unsafe Actions
CVE-2008-2122,Port scan triggers CPU consumption with processes that attempt to read data from closed sockets.,CWE-772,Missing Release of Resource after Effective Lifetime
CVE-2000-1114,Source code disclosure using trailing dot,CWE-42,Path Equivalence: 'filename.' (Trailing Dot)
CVE-2008-2223,SQL injection through an ID that was supposed to be numeric.,CWE-20,Improper Input Validation
CVE-2013-4206,Putty has an incorrectly sized shift value resulting in an overshift.,CWE-1335,Incorrect Bitwise Shift of Integer
CVE-2002-0738,XSS using &={script}.,CWE-87,Improper Neutralization of Alternate XSS Syntax
CVE-2004-2268,Password exposed in debug information.,CWE-215,Insertion of Sensitive Information Into Debugging Code
CVE-2009-0124,chain: incorrect check of return value from the OpenSSL EVP_VerifyFinal function allows bypass of validation of the certificate chain.,CWE-296,Improper Following of a Certificate's Chain of Trust
CVE-2008-3688,Chain: Uninitialized variable leads to infinite loop.,CWE-908,Use of Uninitialized Resource
CVE-2002-1810,MFV. Access TFTP server without authentication and obtain configuration file with sensitive plaintext information.,CWE-306,Missing Authentication for Critical Function
CVE-2001-0778,%20 (encoded space),CWE-177,Improper Handling of URL Encoding (Hex Encoding)
CVE-2001-1339,Product does not disconnect or timeout after multiple failed logins.,CWE-307,Improper Restriction of Excessive Authentication Attempts
